Coin Name,Date,Open,High,Low,Close,Volume,Currency
1inch Token,25/12/2020,1.602781057,2.91809392,1.375262022,2.328543901,638225549,USD
1inch Token,26/12/2020,2.318945885,2.434916019,1.582263947,1.596896052,237653073,USD
1inch Token,27/12/2020,1.597743988,1.630781054,1.056656957,1.062111974,183978307,USD
1inch Token,28/12/2020,1.064453959,1.254446983,1.049051046,1.110075951,119337529,USD
1inch Token,29/12/2020,1.110460043,1.111281991,0.761151016,0.887798011,137916899,USD
1inch Token,30/12/2020,0.887512028,1.247287989,0.874251008,1.090340972,182382243,USD
1inch Token,31/12/2020,1.08889699,1.385939956,1.063166976,1.367988944,180428611,USD
1inch Token,01/01/2021,1.366718054,1.389624953,1.095374942,1.15537703,85719567,USD
1inch Token,02/01/2021,1.154209018,1.157855034,1.004734039,1.028525949,57325197,USD
1inch Token,03/01/2021,1.027873039,1.134752989,0.954321027,1.094288945,78903254,USD
1inch Token,04/01/2021,1.100944996,1.220347047,0.989475012,1.031272054,74099782,USD
1inch Token,05/01/2021,1.03044796,1.300569057,0.995622993,1.252707005,89986368,USD
1inch Token,06/01/2021,1.253224969,1.517207026,1.197689056,1.513447046,125911564,USD
1inch Token,07/01/2021,1.511154056,1.580844998,1.261106014,1.305570006,117149006,USD
1inch Token,08/01/2021,1.300176024,1.340268016,1.065583944,1.194576979,98153438,USD
1inch Token,09/01/2021,1.191730022,1.29895103,1.123286963,1.247189999,70724250,USD
1inch Token,10/01/2021,1.246711016,1.384124994,1.121920943,1.20985496,89053579,USD
1inch Token,11/01/2021,1.208978057,1.208978057,0.975832999,1.127112031,81363662,USD
1inch Token,12/01/2021,1.125851989,1.202054977,1.063290954,1.122758031,54302083,USD
1inch Token,13/01/2021,1.12311995,1.303912997,1.078145981,1.272302985,65603619,USD
1inch Token,14/01/2021,1.273228049,1.395789027,1.27078402,1.334817052,65837974,USD
1inch Token,15/01/2021,1.335783958,1.499981999,1.196581006,1.349639058,117648381,USD
1inch Token,16/01/2021,1.348785996,1.809448004,1.341375947,1.646293044,180632496,USD
1inch Token,17/01/2021,1.64408803,2.156182051,1.597893953,2.029227018,264378890,USD
1inch Token,18/01/2021,2.032202959,2.066309929,1.753496051,1.877701044,155228582,USD
1inch Token,19/01/2021,1.87875998,2.090567112,1.815860987,1.915727019,138354206,USD
1inch Token,20/01/2021,1.910805941,1.960662007,1.652019024,1.855687976,115774841,USD
1inch Token,21/01/2021,1.855115056,1.876613975,1.557708025,1.566640973,106919773,USD
1inch Token,22/01/2021,1.565976977,1.847368956,1.429679036,1.767444015,147896568,USD
1inch Token,23/01/2021,1.763865948,1.990242958,1.713186026,1.931969047,149652679,USD
1inch Token,24/01/2021,1.930554986,2.483419895,1.88628304,2.476353884,238009339,USD
1inch Token,25/01/2021,2.474368095,2.704353094,2.329601049,2.365931988,298397441,USD
1inch Token,26/01/2021,2.361182928,2.675813913,2.196481943,2.673274994,257922264,USD
1inch Token,27/01/2021,2.676148891,2.702423096,2.239331007,2.519754887,263964928,USD
1inch Token,28/01/2021,2.516988039,3.343509912,2.444966078,3.123692036,382035277,USD
1inch Token,29/01/2021,3.116039038,3.457257032,2.857811928,3.361844063,333194531,USD
1inch Token,30/01/2021,3.359806061,4.647129059,3.196784019,4.597844124,706673279,USD
1inch Token,31/01/2021,4.592985153,5.498336792,4.497742176,4.949037075,971693811,USD
1inch Token,01/02/2021,4.948833942,5.250220776,4.30027914,5.016388893,677829088,USD
1inch Token,02/02/2021,5.018033028,5.066002846,4.577428818,4.676736832,335985648,USD
1inch Token,03/02/2021,4.680245876,5.233769894,4.473911762,5.026196957,375531300,USD
1inch Token,04/02/2021,5.028562069,5.925765991,4.633775234,5.577712059,525985999,USD
1inch Token,05/02/2021,5.580189228,6.308009148,5.537893772,5.8307271,365372197,USD
